LANG_ID,CLASS_ID,CLIENT_ID,MATTER_NO,CASEINFO_NO,TK_CODE,DEF_RATE,ASSIGNED_RATE,RATE_UNIT,STATUS_ID,Isdeleted,CTD_BY,CTD_ON
EN,1,50822,9275-221,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,51054,9113-211,888888,DNR,450,400,$,26,0,admin,5/22/2022
EN,1,51129,9086-211,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,53037,9055-211,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,52902,8416-191,888888,DNR,450,300,$,26,0,admin,5/22/2022
EN,1,50090,2656-191,888888,DNR,450,400,$,26,0,admin,5/22/2022
EN,1,53098,9314-221,888888,DNR,450,375,$,26,0,admin,5/22/2022
EN,1,53995,8413-191,888888,DNR,450,400,$,26,0,admin,5/22/2022
EN,1,52907,9188-211,888888,DNR,450,400,$,26,0,admin,5/22/2022
EN,1,53013,8550-191,888888,DNR,450,395,$,26,0,admin,5/22/2022
EN,1,51098,9296-221,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,53957,9314-221,888888,DNR,450,375,$,26,0,admin,5/22/2022
EN,1,52999,9145-211,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,52907,9277-221,888888,DNR,450,360,$,26,0,admin,5/22/2022
EN,1,50102,9296-221,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,50657,9086-211,888888,DNR,450,385,$,26,0,admin,5/22/2022
EN,1,50822,9289-221,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,53961,9277-221,888888,DNR,450,425,$,26,0,admin,5/22/2022
EN,1,50822,9124-211,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,53913,9113-211,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,52907,9158-211,888888,DNR,450,360,$,26,0,admin,5/22/2022
EN,1,50933,9067-211,888888,DNR,450,375,$,26,0,admin,5/22/2022
EN,1,53500,9102-221,888888,DNR,450,475,$,26,0,admin,5/22/2022
EN,1,53909,9277-221,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,53965,9243-211,888888,DNR,450,385,$,26,0,admin,5/22/2022
EN,1,53978,9289-221,888888,DNR,450,300,$,26,0,admin,5/22/2022
EN,1,50866,9127-211,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,50822,9145-211,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,50680,9105-211,888888,DNR,450,525,$,26,0,admin,5/22/2022
EN,1,53038,9124-211,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,52657,9126-211,888888,DNR,450,225,$,26,0,admin,5/22/2022
EN,1,50822,9132-211,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,52907,9132-211,888888,DNR,450,360,$,26,0,admin,5/22/2022
EN,1,50822,9312-221,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,53936,9102-211,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,50008,9102-221,888888,DNR,450,385,$,26,0,admin,5/22/2022
EN,1,51263,9102-211,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,53500,9110-211,888888,DNR,450,475,$,26,0,admin,5/22/2022
EN,1,50807,9110-211,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,53937,9133-211,888888,DNR,450,385,$,26,0,admin,5/22/2022
EN,1,51263,9321-221,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,55650,9106-211,888888,DNR,450,385,$,26,0,admin,5/22/2022
EN,1,53925,9106-211,888888,DNR,450,375,$,26,0,admin,5/22/2022
EN,1,51076,9131-211,888888,DNR,450,375,$,26,0,admin,5/22/2022
EN,1,53987,9131-211,888888,DNR,450,400,$,26,0,admin,5/22/2022
EN,1,53027,9103-211,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,51054,9103-211,888888,DNR,450,400,$,26,0,admin,5/22/2022
