LANG_ID,CLASS_ID,CLIENT_ID,MATTER_NO,STATUS_ID,CTD_BY,CTD_ON,,,,,,,,,,,,,
EN,2,7174,7174-19,30,BHARGAVI,11-22-2019,,,,,,,,,,,,,
EN,2,7175,7175-20,30,BHARGAVI,02-01-2020,,,,,,,,,,,,,
EN,2,7176,7176-16,30,BHARGAVI,09-29-2016,,,,,,,,,,,,,
EN,2,7177,7177-20,30,BHARGAVI,12-08-2020,,,,,,,,,,,,,
EN,2,7179,7179-16,30,BHARGAVI,09-30-2016,,,,,,,,,,,,,
EN,2,7180,7180-19,30,BHARGAVI,09-30-2019,,,,,,,,,,,,,
EN,2,7181,7181-16,30,BHARGAVI,10-10-2016,,,,,,,,,,,,,
EN,2,7182,7182-16,30,BHARGAVI,10-10-2016,,,,,,,,,,,,,
EN,2,7183,7183-16,30,BHARGAVI,10-10-2016,,,,,,,,,,,,,
EN,2,7186,7186-16,30,BHARGAVI,10-12-2016,,,,,,,,,,,,,
EN,2,7188,7188-16,30,BHARGAVI,11-09-2016,,,,,,,,,,,,,
EN,2,7189,7189-16,30,BHARGAVI,10-19-2016,,,,,,,,,,,,,
EN,2,7190,7190-16,30,BHARGAVI,10-19-2016,,,,,,,,,,,,,
EN,2,7191,7191-16,30,BHARGAVI,10-19-2016,,,,,,,,,,,,,
EN,2,7192,7192-16,30,BHARGAVI,10-21-2016,,,,,,,,,,,,,
EN,2,7193,7193-17,30,BHARGAVI,02-27-2017,,,,,,,,,,,,,
EN,2,7194,7194-16,30,BHARGAVI,10-24-2016,,,,,,,,,,,,,
EN,2,7195,7195-16,30,BHARGAVI,10-26-2016,,,,,,,,,,,,,
EN,2,7196,7196-16,30,BHARGAVI,10-26-2016,,,,,,,,,,,,,
EN,2,7198,7198-16,30,BHARGAVI,10-28-2016,,,,,,,,,,,,,
EN,2,7199,7199-16,30,BHARGAVI,10-31-2016,,,,,,,,,,,,,
EN,2,7200,7200-16,30,BHARGAVI,11-03-2016,,,,,,,,,,,,,
EN,2,7201,7201-16,30,BHARGAVI,11-05-2016,,,,,,,,,,,,,
EN,2,7202,7202-20,30,BHARGAVI,06-24-2020,,,,,,,,,,,,,
EN,2,7203,7203-16,30,BHARGAVI,11-11-2016,,,,,,,,,,,,,
EN,2,7204,7204-18,30,BHARGAVI,11-11-2016,,,,,,,,,,,,,
EN,2,7205,7205-16,30,BHARGAVI,11-12-2016,,,,,,,,,,,,,
EN,2,7206,7206-18,30,BHARGAVI,12-12-2017,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
