LANG_ID,C_ID,PLANT_ID,WH_ID,PAR_ITM_CODE,BOM_NO,PAR_ITM_QTY,STATUS_ID,Isdeleted,CTD_BY,CTD_ON
Language ID,Company Code ID,Plant ID,Warehouse ID,Parent Item Code,BOM NUMBER,Parent item Quantity ,Status ID,Deletion Indicator,Created By ,Created on
NVARCHAR(5),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),INTEGER,"DECIMAL(30,4)",INTEGER,INTEGER,NVARCHAR(50),TIMESTAMP
EN,1000,1001,110,013067719,1000216,1,1,0,admin,
EN,1000,1001,110,013067720,1000217,1,1,0,admin,
EN,1000,1001,110,013067721,1000218,1,1,0,admin,
EN,1000,1001,110,013067722,1000219,1,1,0,admin,
EN,1000,1001,110,013067723,1000220,1,1,0,admin,
EN,1000,1001,110,013067724,1000221,1,1,0,admin,
EN,1000,1001,110,013067741,1000222,1,1,0,admin,
EN,1000,1001,110,013067742,1000223,1,1,0,admin,
EN,1000,1001,110,013067743,1000224,1,1,0,admin,
EN,1000,1001,110,013067744,1000225,1,1,0,admin,
EN,1000,1001,110,013067745,1000226,1,1,0,admin,
EN,1000,1001,110,013067755,1000227,1,1,0,admin,
EN,1000,1001,110,013067756,1000228,1,1,0,admin,
EN,1000,1001,110,013067757,1000229,1,1,0,admin,
EN,1000,1001,110,013067760,1000230,1,1,0,admin,
EN,1000,1001,110,013261001,1000231,1,1,0,admin,
EN,1000,1001,110,014361010,1000232,1,1,0,admin,
EN,1000,1001,110,014361011,1000233,1,1,0,admin,
EN,1000,1001,110,014361012,1000234,1,1,0,admin,
EN,1000,1001,110,014361019,1000235,1,1,0,admin,
EN,1000,1001,110,014451030,1000236,1,1,0,admin,
EN,1000,1001,110,014451032,1000237,1,1,0,admin,
EN,1000,1001,110,014531025,1000238,1,1,0,admin,
EN,1000,1001,110,014671057,1000239,1,1,0,admin,
EN,1000,1001,110,015561023,1000240,1,1,0,admin,
EN,1000,1001,110,016391016,1000241,1,1,0,admin,
EN,1000,1001,110,016471001,1000242,1,1,0,admin,
EN,1000,1001,110,016631016,1000243,1,1,0,admin,
EN,1000,1001,110,016691001,1000244,1,1,0,admin,
EN,1000,1001,110,016691006,1000245,1,1,0,admin,
EN,1000,1001,110,016691007,1000246,1,1,0,admin,
EN,1000,1001,110,016691049,1000247,1,1,0,admin,
EN,1000,1001,110,016691050,1000248,1,1,0,admin,
EN,1000,1001,110,017221010,1000249,1,1,0,admin,
EN,1000,1001,110,017241009,1000250,1,1,0,admin,
EN,1000,1001,110,017291057,1000251,1,1,0,admin,
EN,1000,1001,110,017291089,1000252,1,1,0,admin,
EN,1000,1001,110,017291090,1000253,1,1,0,admin,
EN,1000,1001,110,017301001,1000254,1,1,0,admin,
EN,1000,1001,110,017301002,1000255,1,1,0,admin,
EN,1000,1001,110,017301003,1000256,1,1,0,admin,
EN,1000,1001,110,017691004,1000257,1,1,0,admin,
EN,1000,1001,110,017691005,1000258,1,1,0,admin,
EN,1000,1001,110,017691006,1000259,1,1,0,admin,
EN,1000,1001,110,017691008,1000260,1,1,0,admin,
EN,1000,1001,110,017691010,1000261,1,1,0,admin,
EN,1000,1001,110,017691012,1000262,1,1,0,admin,
EN,1000,1001,110,017691013,1000263,1,1,0,admin,
EN,1000,1001,110,017691014,1000264,1,1,0,admin,
EN,1000,1001,110,017691015,1000265,1,1,0,admin,
EN,1000,1001,110,017691016,1000266,1,1,0,admin,
EN,1000,1001,110,017691017,1000267,1,1,0,admin,
EN,1000,1001,110,017691018,1000268,1,1,0,admin,
EN,1000,1001,110,017691019,1000269,1,1,0,admin,
EN,1000,1001,110,017691020,1000270,1,1,0,admin,
EN,1000,1001,110,017691021,1000271,1,1,0,admin,
EN,1000,1001,110,017691022,1000272,1,1,0,admin,
EN,1000,1001,110,017691023,1000273,1,1,0,admin,
EN,1000,1001,110,017691024,1000274,1,1,0,admin,
EN,1000,1001,110,017691026,1000275,1,1,0,admin,
EN,1000,1001,110,017691027,1000276,1,1,0,admin,
EN,1000,1001,110,017691030,1000277,1,1,0,admin,
EN,1000,1001,110,017691031,1000278,1,1,0,admin,
EN,1000,1001,110,018561160,1000279,1,1,0,admin,
EN,1000,1001,110,018561163,1000280,1,1,0,admin,
EN,1000,1001,110,018561164,1000281,1,1,0,admin,
EN,1000,1001,110,018561165,1000282,1,1,0,admin,
EN,1000,1001,110,019011001,1000283,1,1,0,admin,
EN,1000,1001,110,019011002,1000284,1,1,0,admin,
EN,1000,1001,110,019011003,1000285,1,1,0,admin,
EN,1000,1001,110,019091037,1000286,1,1,0,admin,
EN,1000,1001,110,019091038,1000287,1,1,0,admin,
EN,1000,1001,110,019091039,1000288,1,1,0,admin,
EN,1000,1001,110,019091040,1000289,1,1,0,admin,
EN,1000,1001,110,019091041,1000290,1,1,0,admin,
EN,1000,1001,110,019091042,1000291,1,1,0,admin,
EN,1000,1001,110,019091051,1000292,1,1,0,admin,
EN,1000,1001,110,019091052,1000293,1,1,0,admin,
EN,1000,1001,110,019161001,1000294,1,1,0,admin,
EN,1000,1001,110,019161002,1000295,1,1,0,admin,
EN,1000,1001,110,020301039,1000296,1,1,0,admin,
EN,1000,1001,110,020301157,1000297,1,1,0,admin,
EN,1000,1001,110,020301158,1000298,1,1,0,admin,
EN,1000,1001,110,020301159,1000299,1,1,0,admin,
EN,1000,1001,110,020301170,1000300,1,1,0,admin,
EN,1000,1001,110,020301258,1000301,1,1,0,admin,
EN,1000,1001,110,020301259,1000302,1,1,0,admin,
EN,1000,1001,110,020301260,1000303,1,1,0,admin,
EN,1000,1001,110,020301261,1000304,1,1,0,admin,
EN,1000,1001,110,020301438,1000305,1,1,0,admin,
EN,1000,1001,110,020301439,1000306,1,1,0,admin,
EN,1000,1001,110,020301440,1000307,1,1,0,admin,
EN,1000,1001,110,020301441,1000308,1,1,0,admin,
EN,1000,1001,110,020301442,1000309,1,1,0,admin,
EN,1000,1001,110,020301443,1000310,1,1,0,admin,
EN,1000,1001,110,020301444,1000311,1,1,0,admin,
EN,1000,1001,110,020301445,1000312,1,1,0,admin,
EN,1000,1001,110,020301497,1000313,1,1,0,admin,
EN,1000,1001,110,020301498,1000314,1,1,0,admin,
EN,1000,1001,110,020301499,1000315,1,1,0,admin,
EN,1000,1001,110,020301501,1000316,1,1,0,admin,
EN,1000,1001,110,020301516,1000317,1,1,0,admin,
EN,1000,1001,110,020301517,1000318,1,1,0,admin,
EN,1000,1001,110,020301547,1000319,1,1,0,admin,
EN,1000,1001,110,020301548,1000320,1,1,0,admin,
EN,1000,1001,110,020301602,1000321,1,1,0,admin,
EN,1000,1001,110,020301603,1000322,1,1,0,admin,
EN,1000,1001,110,020301604,1000323,1,1,0,admin,
EN,1000,1001,110,020301605,1000324,1,1,0,admin,
EN,1000,1001,110,020301607,1000325,1,1,0,admin,
EN,1000,1001,110,020301608,1000326,1,1,0,admin,
EN,1000,1001,110,020301609,1000327,1,1,0,admin,
EN,1000,1001,110,020301610,1000328,1,1,0,admin,
EN,1000,1001,110,020301611,1000329,1,1,0,admin,
EN,1000,1001,110,020301622,1000330,1,1,0,admin,
EN,1000,1001,110,020301623,1000331,1,1,0,admin,
EN,1000,1001,110,020301642,1000332,1,1,0,admin,
EN,1000,1001,110,020301808,1000333,1,1,0,admin,
EN,1000,1001,110,020301927,1000334,1,1,0,admin,
EN,1000,1001,110,020301935,1000335,1,1,0,admin,
EN,1000,1001,110,020301955,1000336,1,1,0,admin,
EN,1000,1001,110,020301957,1000337,1,1,0,admin,
EN,1000,1001,110,020302016,1000338,1,1,0,admin,
EN,1000,1001,110,020302017,1000339,1,1,0,admin,
EN,1000,1001,110,020302018,1000340,1,1,0,admin,
EN,1000,1001,110,020302019,1000341,1,1,0,admin,
EN,1000,1001,110,020302021,1000342,1,1,0,admin,
EN,1000,1001,110,020302092,1000343,1,1,0,admin,
EN,1000,1001,110,020302093,1000344,1,1,0,admin,
EN,1000,1001,110,020302094,1000345,1,1,0,admin,
EN,1000,1001,110,020302095,1000346,1,1,0,admin,
EN,1000,1001,110,020302103,1000347,1,1,0,admin,
EN,1000,1001,110,020302108,1000348,1,1,0,admin,
EN,1000,1001,110,020302130,1000349,1,1,0,admin,
EN,1000,1001,110,020302221,1000350,1,1,0,admin,
EN,1000,1001,110,020302222,1000351,1,1,0,admin,
EN,1000,1001,110,020302602,1000352,1,1,0,admin,
EN,1000,1001,110,020302603,1000353,1,1,0,admin,
EN,1000,1001,110,020302636,1000354,1,1,0,admin,
EN,1000,1001,110,020302637,1000355,1,1,0,admin,
EN,1000,1001,110,020302641,1000356,1,1,0,admin,
EN,1000,1001,110,020302642,1000357,1,1,0,admin,
EN,1000,1001,110,020302673,1000358,1,1,0,admin,
EN,1000,1001,110,020302681,1000359,1,1,0,admin,
EN,1000,1001,110,020302682,1000360,1,1,0,admin,
EN,1000,1001,110,020302683,1000361,1,1,0,admin,
