LANG_ID,C_ID,PLANT_ID,WH_ID,ITM_CODE,PACK_BARCODE,ST_BIN,STCK_TYP_ID,SP_ST_IND_ID,BIN_CL_ID,TEXT,INV_QTY,INV_UOM,Isdeleted,IU_CTD_BY,IU_CTD_ON
Language ID,Company Code ID,Plant ID,Warehouse ID,Item code,Pack Barcode,Storage Bin ,Stock type ID,Special Stock Indicator ID,Bin Class ID,Description ,Inventory Quantity ,Inventory UOM,Deletion Indicator,Created By ,Created on
NVARCHAR(5),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),INTEGER,INTEGER,INTEGER,NVARCHAR(500),"DECIMAL(30,4)",NVARCHAR(50),INTEGER,NVARCHAR(50),TIMESTAMP
EN,1000,1001,110,208406,G190024264,GB1BB04B02,1,1,1,MTL DRY RACK 75X38CM WHT,26,EA,0,admin,
EN,1000,1001,110,208407,G190034037,GB1BB05A02,1,1,1,COTTON CLOTHESPIN BAG WHT,33,EA,0,admin,
EN,1000,1001,110,208408,G190027387,GB1BA08C03,1,1,1,TRI POD FLD AIR DRYER,25,EA,0,admin,
EN,1000,1001,110,208409,TV00320784,GB1BA08A03,1,1,1,3 TIER HANG DRYER RACK,36,EA,0,admin,
EN,1000,1001,110,208410,G200005407,GB1BA12D03,1,1,1,POP HAMPER 19x24 BLK,34,EA,0,admin,
EN,1000,1001,110,208411,G190027055,GB1BA12A01,1,1,1,BAMBOO HAMPER 14x14x25,20,EA,0,admin,
EN,1000,1001,110,208412,G200005396,GB1BB10D03,1,1,1,LG LAUNDRY HAMPER BLU,20,EA,0,admin,
EN,1000,1001,110,208413,G190029591,GB1BA08B01,1,1,1,MESH BASKET 18x11x24 BLK,38,EA,0,admin,
EN,1000,1001,110,208414,G190034027,GB1BB05A02,1,1,1,TPL SORT BASKET 30 BLU,38,EA,0,admin,
EN,1000,1001,110,208415,G190027331,GB1BA07A01,1,1,1,HANGER 3PK WHT HEAVY DUTY,26,EA,0,admin,
EN,1000,1001,110,208416,G190031794,GB1BN21B06,1,1,1,4 TIER SKIRT HANGER CHR,10,EA,0,admin,
EN,1000,1001,110,208417,G190033196,GB1BN13A05,1,1,1,SKIRT/PANT HANGER 3PK,14,EA,0,admin,
