inventoryId,languageId,companyCodeId,plantId,warehouseId,palletCode,caseCode,itemCode,packBarcodes,variantCode,variantSubCode,batchSerialNumber,storageBin,stockTypeId,specialStockIndicatorId,referenceOrderNo,storageMethod,binClassId,description,allocatedQuantity,inventoryQuantity,inventoryUom,manufacturerCode,manufacturerDate,expiryDate,barcodeId,cbm,cbmUnit,cbmPerQuantity,manufacturerName,origin,brand,referenceDocumentNo,levelId,companyDescription,plantDescription,warehouseDescription,statusDescription,stockTypeDescription,deletionIndicator,referenceField1,referenceField2,referenceField3,referenceField4,referenceField5,referenceField6,referenceField7,referenceField8,referenceField9,referenceField10,dType,createdBy
1709259939383,EN,23,125,200,99999,99999,9016660003,99999,,,,A3-AA-23-40D,1,1,,,1,"SCREW L/C,LX470,COASTER 98-",0,10,ECH,TOY,,,9016660003  L,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,10,AA,,,"SCREW L/C,LX470,COASTER 98-",TOY,A3,InventoryV2,admin
1709259939384,EN,23,125,200,99999,99999,1914514010,99999,,,,A3-AA-23-40E,1,1,,,1,PM4 POINT DISTRIBUTOR TERCEL 1982-1988,0,6,ECH,TOY,,,1914514010  G,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,6,AA,,,PM4 POINT DISTRIBUTOR TERCEL 1982-1988,TOY,A3,InventoryV2,admin
1709259939385,EN,23,125,200,99999,99999,8934153030,99999,,,,A3-AA-23-40F,1,1,,,1,SENSOR U.SONIC FR CENTER IS250/350 13-16,0,1,ECH,TOY,,,8934153030  Q,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,SENSOR U.SONIC FR CENTER IS250/350 13-16,TOY,A3,InventoryV2,admin
1709259939386,EN,23,125,200,99999,99999,6921730040,99999,,,,A3-AA-23-40G,1,1,,,1,"PM2 COVER, FR DOOR",0,1,ECH,TOY,,,,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,"PM2 COVER, FR DOOR",TOY,A3,InventoryV2,admin
1709259939387,EN,23,125,200,99999,99999,9094202083,99999,,,,A3-AA-23-40H,1,1,,,1,BOLT HUB RR RH L/C 08-13/LS460 08-,0,10,ECH,TOY,,,9094202083  R,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,10,AA,,,BOLT HUB RR RH L/C 08-13/LS460 08-,TOY,A3,InventoryV2,admin
1709259939388,EN,23,125,200,99999,99999,7531102190,99999,,,,A3-AA-23-40J,1,1,,,1,"EMBLEM RADIATOR GRILL,COROLLA-2010-2013",0,1,ECH,TOY,,,7531102190  J,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,"EMBLEM RADIATOR GRILL,COROLLA-2010-2013",TOY,A3,InventoryV2,admin
1709259939389,EN,23,125,200,99999,99999,754270K011,99999,,,,A3-AA-23-50B,1,1,,,1,PLATE FR DOOR NAME HILUX 2007-,0,1,ECH,TOY,,,,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,PLATE FR DOOR NAME HILUX 2007-,TOY,A3,InventoryV2,admin
1709259939390,EN,23,125,200,99999,99999,9046709050,99999,,,,A3-AA-23-50C,1,1,,,1,CLIP FOR HOOD INSULATOR,0,43,ECH,TOY,,,9046709050  U,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,43,AA,,,CLIP FOR HOOD INSULATOR,TOY,A3,InventoryV2,admin
1709259939391,EN,23,125,200,99999,99999,9046706121,99999,,,,A3-AA-23-50D,1,1,,,1,CLIP LINER RR COROLLA,0,12,ECH,TOY,,,9046706121  Q,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,12,AA,,,CLIP LINER RR COROLLA,TOY,A3,InventoryV2,admin
1709259939392,EN,23,125,200,99999,99999,9046710183,99999,,,,A3-AA-23-50G,1,1,,,1,CLIP,0,4,ECH,TOY,,,9046710183  T,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,4,AA,,,CLIP,TOY,A3,InventoryV2,admin
1709259939393,EN,23,125,200,99999,99999,5212848913,99999,,,,A3-AA-23-50I,1,1,,,1,COVER FR BUMPER HOLE LH RX270/350 12-,0,1,ECH,TOY,,,5212848913  X,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,COVER FR BUMPER HOLE LH RX270/350 12-,TOY,A3,InventoryV2,admin
1709259939394,EN,23,125,200,99999,99999,8192053051,99999,,,,A3-AA-23-60A,1,1,,,1,REFLECTOR LH IS 200/300 2015-,0,1,ECH,TOY,,,8192053051  O,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,REFLECTOR LH IS 200/300 2015-,TOY,A3,InventoryV2,admin
1709259939395,EN,23,125,200,99999,99999,5204060170,99999,,,,A3-AA-23-60B,1,1,,,1,COVER FOG LAMP LH L/C 2022,0,1,ECH,TOY,,,5204060170  F,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,COVER FOG LAMP LH L/C 2022,TOY,A3,InventoryV2,admin
1709259939396,EN,23,125,200,99999,99999,8121147010,99999,,,,A3-AA-23-60C,1,1,,,1,FOG LAMP UNIT FJ CRUISER 2014-,0,1,ECH,TOY,,,8121147010  F,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,FOG LAMP UNIT FJ CRUISER 2014-,TOY,A3,InventoryV2,admin
1709259939397,EN,23,125,200,99999,99999,9007560077,99999,,,,A3-AA-23-60E,1,1,,,1,PM3 SOCKET SIGNAL LAMP YARIS 12-/COROLLA,0,1,ECH,TOY,,,9007560077  V,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,PM3 SOCKET SIGNAL LAMP YARIS 12-/COROLLA,TOY,A3,InventoryV2,admin
1709259939398,EN,23,125,200,99999,99999,015532DR9A,99999,,,,A3-AA-25-30B,1,1,,,1,CLIP (01553-09321),0,10,ECH,NIS,,,015532DR9A,,,,NIS,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,10,AA,,,CLIP (01553-09321),NIS,A3,InventoryV2,admin
1709259939399,EN,23,125,200,99999,99999,0155305933,99999,,,,A3-AA-25-30C,1,1,,,1,CLIP,0,6,ECH,NIS,,,0155305933,,,,NIS,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,6,AA,,,CLIP,NIS,A3,InventoryV2,admin
1709259939400,EN,23,125,200,99999,99999,265655C000,99999,,,,A3-AA-25-30C,1,1,,,1,REFLECTOR RR/LH JUKE/MURANO/SENTRA 13-19,0,1,ECH,NIS,,,,,,,NIS,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,REFLECTOR RR/LH JUKE/MURANO/SENTRA 13-19,NIS,A3,InventoryV2,admin
1709259939401,EN,23,125,200,99999,99999,A2208JA00A,99999,,,,A3-AA-25-30E,1,1,,,1,BUSHING SET URVAN -2018-,0,1,ECH,NIS,,,,,,,NIS,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,BUSHING SET URVAN -2018-,NIS,A3,InventoryV2,admin
1709259939402,EN,23,125,200,99999,99999,0155309611,99999,,,,A3-AA-25-30F,1,1,,,1,CLIP,0,4,ECH,NIS,,,0155309611,,,,NIS,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,4,AA,,,CLIP,NIS,A3,InventoryV2,admin
1709259939403,EN,23,125,200,99999,99999,7717426020,99999,,,,A3-AA-25-30H,1,1,,,1,PM3 SUPPORT FUEL PUMP(2322075040) HIACE ,0,1,ECH,TOY,,,7717426020  Q,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,PM3 SUPPORT FUEL PUMP(2322075040) HIACE ,TOY,A3,InventoryV2,admin
