PARTNER_CODE,LANG_ID,C_ID,PLANT_ID,WH_ID,ITEM_CODE,PARTNER_TYP,PARTNER_ITM_BAR,MFR_CODE,MFR_NAME,BRND_NM,PARTNER_NAME,PARTNER_ITM_CODE,PARTNER_ITM_BAR_CODE,MFR_BAR,STK,STK_UOM,STATUS_ID,REF_FIELD_1,REF_FIELD_2,REF_FIELD_3,IS_DELETED,CTD_BY
GMO,EN,21,222,200,92226391,1,92226391,GMO,GMO,,GMO,92226391,92226391,92226391,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92228915,1,92228915,TAI,TAI,,TAI,92228915,92228915,92228915,0,ECH,0,,,,0,ADMIN
BES,EN,21,222,200,92234040,1,92234040,BES,BES,,BES,92234040,92234040,92234040,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92235811,1,92235811,TAI,TAI,,TAI,92235811,92235811,92235811,0,ECH,0,,,,0,ADMIN
BES,EN,21,222,200,92236235,1,92236235,BES,BES,,BES,92236235,92236235,92236235,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92236547,1,92236547,TAI,TAI,,TAI,92236547,92236547,92236547,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92236548,1,92236548,TAI,TAI,,TAI,92236548,92236548,92236548,0,ECH,0,,,,0,ADMIN
WKG,EN,21,222,200,92239774,1,92239774,WKG,WKG,,WKG,92239774,92239774,92239774,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92247214,1,92247214,TAI,TAI,,TAI,92247214,92247214,92247214,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92249010,1,92249010,TAI,TAI,,TAI,92249010,92249010,92249010,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,92249137,1,92249137,GMO,GMO,,GMO,92249137,92249137,92249137,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,92250639,1,92250639,GMO,GMO,,GMO,92250639,92250639,92250639,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,92251275,1,92251275,GMO,GMO,,GMO,92251275,92251275,92251275,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92253145,1,92253145,TAI,TAI,,TAI,92253145,92253145,92253145,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,92258161,1,92258161,GMO,GMO,,GMO,92258161,92258161,92258161,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,92270537,1,92270537,GMO,GMO,,GMO,92270537,92270537,92270537,0,ECH,0,,,,0,ADMIN
